Location,Area (km^2),children population,children density,elderly population,elderly density,total population,total density,youth population,youth density,Average RWI,Min RWI,Max RWI
Nueva Ecija,5477.275945413494,408488.0275659999,74.57868320621229,285705.8424509999,52.16203187466598,3796851.0886829984,693.2006213530957,722550.6462679992,131.91788280687982,0.03736048064085448,-0.964,1.466
Nueva Vizcaya,3923.9647609393696,124299.42643799995,31.676998650783894,80664.26808899998,20.556827852268867,1139071.864642002,290.28595668869264,224611.669795,57.24100074263397,-0.3371923847695392,-1.097,1.071
Occidental Mindoro,5918.517012734214,231426.18113499993,39.10205557187146,143220.07590100018,24.198642260020453,2037598.748525011,344.27522031970784,391714.40543700184,66.18455342684554,-0.35423165137614704,-1.218,1.267
Oriental Mindoro,4240.68659325571,166023.17782799975,39.1500702013771,84450.3227799999,19.91430418704078,1352903.5294749981,319.02935992172223,262067.79784699937,61.79843572118391,-0.3337655954631379,-1.182,1.644
Palawan,14607.876379566873,228093.38240899713,15.614410779656403,96976.74610900076,6.638661472015834,1766392.1619489903,120.92053054472551,349967.32903599634,23.95744048912693,-0.37943153219837156,-1.318,1.608
Pampanga,2251.8186733118782,498095.54262300016,221.1970033494849,333990.8883740003,148.32050747797595,4816336.711786995,2138.86525094995,923103.0247630001,409.9366595114605,0.44225706214689264,-0.705,1.615
Pangasinan,5199.6687236196085,533329.5451049997,102.5699084794265,404096.3553180001,77.71578860060518,4977499.855462998,957.27249562123,958760.2135599992,184.3887109970699,0.10056361323155219,-1.092,1.275
Quezon,8357.097800798656,2760572.3486380125,330.32667732740845,1871644.8415260112,223.95870984627527,24135388.20963006,2888.0107406812367,4647430.732130022,556.1058208132833,-0.29077958015267175,-1.515,1.761
Quirino,3097.8233584953605,51209.76400899993,16.530885748719047,31139.149443000002,10.051944813962717,460594.7169839992,148.6833378413526,90588.21653199998,29.242537759157273,-0.36691406249999975,-1.025,0.862
Rizal,1268.0014158340168,516943.5030479999,407.68369545390834,250630.8773320003,197.65819990599147,4753840.943709001,3749.081731570626,915113.4160090006,721.697471770639,0.29740555555555537,-0.825,1.699
Romblon,1325.3881115846873,33307.551326,25.130413525571882,27080.449857,20.432090510168774,300278.23192300036,226.55871838474215,56363.975472999955,42.52639282059722,-0.24977070063694257,-1.308,0.861
Samar,5443.57446743882,259753.10925999982,47.71737960300425,165411.33963900007,30.3865301427254,2163160.352906001,397.3786646706349,416654.42029200034,76.54059346193432,-0.4052610364683302,-1.393,1.172
Sarangani,3246.2677155862866,272400.0979559998,83.91177863985979,107421.87731500003,33.09088674333173,2156467.5402499964,664.2913429154845,443122.3785019995,136.50210559481542,-0.4309535398230086,-1.13,1.15
Siquijor,320.71979324886803,9408.554241999998,29.335745532547374,13236.711821999997,41.27188935834947,102347.02944900001,319.11666072190957,17865.549722000007,55.704543648595234,-0.02205263157894737,-0.742,1.486
Sorsogon,1990.5346033792782,125420.38152899999,63.008390467604585,82865.28437000007,41.629662819888615,1062293.6643770002,533.6725433326163,200253.2747600002,100.60275989175746,-0.2530854430379748,-1.113,1.179
South Cotabato,4349.516403464904,280242.0470880004,64.43062195713401,123465.84484900023,28.386108568447998,2342867.9006340005,538.6502045992123,483151.7054840004,111.08170671551277,-0.21165409836065566,-1.178,1.548
Southern Leyte,1684.6009402087182,61479.006523,36.494700350447914,61517.78445599998,36.51771941215827,590622.9613410006,350.6011110665911,107269.86667300007,63.676722547542674,-0.22212264150943392,-1.134,1.514
Sultan Kudarat,4446.537775191155,320957.742168,72.18149454587783,141858.666969,31.903173691783508,2686999.3379349983,604.2902306884114,550220.1377229999,123.74124893144446,-0.3407766143106461,-1.15,1.074
Sulu,1559.4227219018285,45517.56055899998,29.188724724677627,12107.500682000058,7.764091488441369,421371.3634070002,270.20983950593427,86876.83764600013,55.71089636301282,-0.38587614678899074,-1.107,1.201
Surigao del Norte,2100.6696056938576,77298.32885200015,36.79699494031965,58937.46966500003,28.056515648748487,715220.094641,340.472434457279,141702.6777839999,67.45595661493616,-0.07036475409836067,-1.184,1.331
Surigao del Sur,4317.203266874237,162650.29977500017,37.674922796202516,82326.66269400006,19.069443249450384,1307401.3184099994,302.83524717069685,267165.2720519997,61.883876096812564,-0.3023201856148491,-1.136,1.573
Tarlac,3018.132178136063,296694.5287679999,98.30402091641739,206925.74550500017,68.5608625771961,2728880.574248003,904.1620489707326,515857.36997500015,170.9194095977543,0.09026213592233008,-0.994,1.467
Tawi-Tawi,1182.8009901733126,78450.63208200032,66.3261467768176,20101.560293000104,16.994879493679388,671194.6990390017,567.4620706401788,145291.64163600048,122.83692932545762,-0.3291009174311926,-1.132,0.927
Zambales,3661.803433712183,165008.03520299977,45.06195872882274,111476.45001299988,30.443045901016514,1471522.7750389997,401.85739122190716,278394.5265679999,76.02661683174381,-0.09556439393939391,-1.292,1.369
Zamboanga del Norte,6387.4716900322765,361382.8999269997,56.576829998470586,189845.57478899957,29.72155243916866,2992493.571538002,468.4942206801203,605679.4668320001,94.82303738068536,-0.43612172923777054,-1.323,1.437
Zamboanga del Sur,5291.129282203138,408438.9194949996,77.19314681438523,198197.61553299968,37.458471521314536,3369985.273623999,636.9122910980533,686540.0560809997,129.7530299231577,-0.33240942028985515,-1.178,1.834
Zamboanga Sibugay,2712.5657287304457,105794.65862,39.001694041719965,46906.26763399994,17.29221420782063,846098.5050290001,311.9181578044183,175621.5956479999,64.74371986193144,-0.386899766899767,-1.076,1.219
