yes,house,school,farm,roof,public,commercial,church,retail,farm_auxiliary,warehouse,college,stilt_house,hospital,civic,grandstand,Location,Date_Extracted,industrial,terrace,hotel,hut,university,transportation,residential,office,apartments,chapel,purok_center,service,construction,barn,cathedral,garages,purok center,meeting center,pavilion,shed,garage,stable,sports_hall,purok shade,sty,kindergarten,daycare,Rice_Mill,accommodation,no,houses,greenhouse,detached,damaged,yes;school,ruins,tank,stage,hospital grounds,church;yes,semidetached_house,train_station,hangar,dormitory,carport,Botique,storage_tank,religious,lighthouse,day care center,grocery store,bridge,bank,vulcanizing shop,mosque,silo,guardhouse,supermarket,pumping_station,hall,store,clubhouse,restaurant,manufacture,security_booth,temple,pagoda,parking,belfry,shop,Health Center,water_tank,bungalow,luxurious_hotel,bahay_laang,gazebo,basketball court,Power GenSet House,fire_station,Aqua Ardenta Purified Water,Cr,Mahacot East RWSA Office,basilica,toilets,DRRM OFFICE,covered court,government,cabin,gatehouse,cottage,wayside_shrine,monastery,store_shop,RFJ Construction and Trading,Health_Facility,Cattubo_Barangay_Hall,Cattubo MPC,stadium,museum,ngo,abandoned,pergola,kiosk,farmhouse,collapsed,Institution,institution,Government_Office,institutional,Trinidad RHU Building,tree_house,meetingpoint,airport_terminal,Government_Building,control_tower,administrative,cowshed,bunker,Sari Sari Shop,clinic,Kimkar Building,Elementary,Gymnasium,school_facility,business establishment,gymnasium,Grocery,Registry of Deeds,Gazebo,chicken_coop,rural,JL Farm Station,cell tower,resort,damage,tent,healthcare,residential;collapsed,power,tunnel,CAPSU President,day_care_center,dryer,sport,sports_centre,static_caravan,business,balcony,canopy,proposed,Zodiac Ville,shelter,mausoleum,Government Agency,court,inn,Bahay Pag-asa,Barngay hall,Multipurpose Cooperative,sup,government_office,Dialysis Clinic,Rizza Mae Fauni Dental Clinic,livestock,destroyed,entrance,tower,historic,Government,theatre,foundations,ground,repaired,Heritage House,outbuilding,Sarisari store,REACT_Philippines_Inc,Senior_Citizen_Building,Ubbos_Residence,place_of_worship,Health_Building,HMS_GW,hms_gw,military,canteen,ground_station,CPA Review Center,prison,"yes,_market","OSS, Alumni, HR, Records, Clinic",Knowledge Center,Der Mana Residences,semi,townhall,convent,facility,dock,Residential House,pharmacy,edificio,Local_Government_Property,Municipal_Hall,marketplace,factory,education,Lodge,brgytanodoutpost,kuboshed,daycarecenter,municipal court,nipahuthouse,scss,National Highway 2,jail facility,town plaza,Barangay Hall,Waiting Shed,bing,track,manor,PDEA_Regional_Office_VI,MORE_POWER_ILOILO,recreation_ground,Local_Government,Clustered,demolished,barangay hall,villa,duplex,cafe,Baranggay hall,covered,shrine,weather_station,seminary,kitchen,reconstructed,yesm,college_of_architecture_and_allied_discipline,"barber_shop,tacloban_city",COE,market,town_hall,path,NHA,boarding_house,classroom,center,Institutional,Water_Station,laboratory,parish shelter,Mixed_Use,truck,rectory,heath,Supply_Building,NO,gas_station,mall,commercial;retail,stilthouse,private property,retail;commercial,Santo Niño Road,lounge,Guest_House,motel,Pigcawayan Municipal Gymnasium,over_water,BluVer,dome,motorway,power_substation,police,quarry,footway,Idelfonso Tuazon Street,water_tower,Unsure_-_please_check,allotment_house,tennis,multipurpose,Yakult,covered_court,Pineda Residence,public market,government office,convention hall,court house and office,Pantal Multipurpose Hall,RTA Building,convention and ciultural hall,bakehouse,townhouse,generic,Bakery,coastline,YSR Commercial Space,Vacant Lot,convenience,Covered_Court,funeral_hall,Taytay-San Juan,school canteen,active,bell_tower,goverment_building,Police_Station,container,pond,tourism,islet,RTWPB XII,Studio,gasoline_station,Chapel,branch,patio,pavillion,Reservoir,building across building,Checkpoint,Building across another building
7513,5792,248,,12,7,3,4,3,,2,,,3,,,Camiguin,01/09/2023,,,1,,,2,2,1,,2,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98199,3334,975,,31,9,89,27,10,1,4,1,,4,12,5,Capiz,01/09/2023,16,69,1,109,1,1,473,4,2,14,,,8,,1,,,,1,127,,,,,1,1,,,,1,,,,1048,,3,,,,,,,1,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,6,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56556,805,546,,16,15,37,11,16,,2,9,,2,5,,Catanduanes,01/09/2023,2,,1,2,,2,48,2,1,5,,3,3,,1,,,,,11,3,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138962,486465,3451,47,1173,288,1736,262,1341,6,270,88,,122,46,5,Cavite,01/09/2023,2304,26707,55,18,177,10,27864,60,469,66,,13,122,15,1,2,,,2,28,62,,27,,,2,,,,,,170,8,244,,13,,,,,46,,34,7,,,13,,,,,2,,,4,,50,8,,1,,17,,11,3,1,,1,,,,,,,,1,,,1,,,,,1,,,1,,13,,,,,,,,,1,,,1,,11,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,33,,,,,,,,6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172465,8264,7917,7,856,531,364,115,279,4,30,37,,67,103,3,Cebu,01/09/2023,418,443,77,31,166,18,626,84,133,106,,1,45,10,1,2,,,,55,9,1,,,,3,,,,8,,,7,2303,,10,,,,,,,76,16,,,4,,1,,,,,,,4,,4,,1,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,1,,,,4369,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,1,,,113,16,2,2,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11977,86,2002,,190,77,15,25,57,2,2,1,,11,1,1,Compostela Valley,01/09/2023,11,,2,,,2,1005,8,,1,,,,,,,,,,5,,,,,1,2,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229292,3010,1345,3,229,105,64,57,53,11,8,6,3,10,,3,Davao del Norte,01/09/2023,68,,3,6,5,6,200,11,207,8,,,9,1,,,,,5,43,7,,3,,,3,,,,,,,,,,13,,,,,,,2,,,,,,,,,,,,3,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112193,12046,2933,4,790,349,872,122,307,43,58,12,4,35,4,6,Davao del Sur,01/09/2023,599,3,36,14,18,1,350,169,150,62,,14,57,1,2,1,,,,3,73,,2,,,6,,,,1,,13,44,,,,,,,,2055,,1,6,,,2,,,,,1,,,10,4,4,,,,,1,,,,2,,1,,,,,,,,,,,,,,,,9,,,2,,,,1,1,,,,,,3,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,3,3,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950,27,1950,,222,54,10,31,14,,1,3,,6,,,Davao Oriental,01/09/2023,6,,,7,,3,2,6,,4,,1,2,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,2,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10849,257,343,,16,12,2,2,,,,,13,,1,,Dinagat Islands,01/09/2023,,,,,,2,70,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86715,6857,1286,1,80,84,27,55,11,4,2,1,,11,22,,Eastern Samar,01/09/2023,15,12,,21,,1,546,1,4,42,,10,7,1,,,,,,4,4,,,,,1,,,,,,1,,104,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3965,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5858,273,740,,30,3,12,8,2,3,1,,,5,17,,Guimaras,01/09/2023,4,,,2,1,1,7,1,,3,,,,,,,,,1,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22336,1672,1454,,22,6,39,5,5,1,1,,,1,3,,Ifugao,01/09/2023,33,,1,40,2,,2,,3,1,,,,,,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172256,3979,3239,,97,37,64,20,14,,2,1,,5,10,,Ilocos Norte,01/09/2023,1,,2,5,2,,30,2,6,1,,,,3,,,,,,12,4,1,,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73304,94235,3812,5,146,35,80,35,33,1,2,1,,13,7,1,Ilocos Sur,01/09/2023,9,,4,,1,,97,2,23,9,,,,,1,,,,,3,1,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161900,10572,5848,21,360,60,390,141,112,11,125,20,,73,95,5,Iloilo,01/09/2023,147,652,21,14,66,5,3702,24,1225,49,,5,23,,1,,,,5,167,17,1,,,1,3,,,,,,22,4,35,,5,,,,,1,,2,18,,,23,,,,,1,,,,1,2,2,,1,,,,1,7,1,,3,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,1,,,1,,,,11,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,144,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361412,2210,8119,,246,17,7,29,23,13,20,34,,13,9,,Isabela,01/09/2023,38,,2,4,29,4,104,5,7,3,,,73,2,1,,,,,4,9,,,,,,,,,,,60,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17341,60,1860,,30,,2,1,2,,1,,,4,2,,Kalinga,01/09/2023,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50761,34089,3097,,218,46,428,48,17,,9,25,,47,17,,La Union,01/09/2023,125,,10,1,2,,1425,7,14,5,,,4,,1,,,,,6,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106205,24933,3481,8,724,235,430,167,263,3,81,45,4,78,54,,Laguna,01/09/2023,1151,460,9,12,73,7,2519,39,142,83,,8,26,,1,1,,,,6,6,4,,,7,4,,,,2,,40,8,,,,,,,,2,9,,63,,,1,,,,,,,,3,,3,6,,,,43,,5,,1,,1,,1,,,,,,1,,,,,,,,2,,,,,1,,,,,,,,,,,,19,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38092,24,3683,,120,63,21,25,22,,8,27,,16,2,1,Lanao del Norte,01/09/2023,17,,,,,3,4940,5,4,6,,,,,1,,,,,62,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33941,78,475,,37,16,6,14,12,,2,9,,2,,1,Lanao del Sur,01/09/2023,1,,2,,13,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,48,,,,,,,,,,,3,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247096,82071,3369,1025,223,221,970,89,67,3,74,1,,28,242,4,Leyte,01/09/2023,192,9,40,368,55,9,1087,17,56,110,,6,828,4,1,1,,,,218,186,,,,1,1,,,,2,,4,32,10525,,330,,,,,,,,37,,,1,,,,,,,,,,4,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,,,,,,,,,18455,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62485,928,577,,47,58,2,10,13,,1,,375,2,,,Maguindanao,01/09/2023,16,,,,7,,626,18,1,6,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,520,1000,,14,4,34,6,1,,,23,,3,6,1,Marinduque,01/09/2023,2,1,,1,,1,25,1,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42911,1563,1998,,21,5,55,7,3,,3,2,1,3,5,1,Masbate,01/09/2023,5,,4,3,,2,1047,2,,1,,,6,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26538,891,2849,2,83,51,5,17,15,,3,2,,12,1,,Misamis Occidental,01/09/2023,1,,,6,,3,39,2,,1,,,1,,1,,,,,,1,,,,,,,,,4,,,,,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297102,56288,1726,2,264,166,329,73,203,7,160,35,,34,12,2,Misamis Oriental,01/09/2023,383,22,17,19,27,7,139,14,18,9,,2,15,1,1,,,,,17,22,,,,,1,,,,,,,7,,,5,,,,,,,,3,,,34,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15850,2580,1214,1,50,10,6,8,18,5,1,13,,8,4,,Mountain Province,01/09/2023,,,8,13,,,92,1,,2,,,1,5,,,,,,15,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52261,6573,6311,4,306,49,162,54,70,,7,29,1,39,35,2,Negros Occidental,01/09/2023,74,,14,63,104,6,745,14,213,20,,1,22,,4,,,,1,7,1,,,,,1,,,,1,,5,,1,,1,,,,,1,,1,4,,,,,,,,,,,1,,1,2,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
