school,place_of_worship,restaurant,townhall,fuel,fast_food,bank,atm,police,bus_station,fire_station,cafe,doctors,clinic,parking,monastery,library,hospital,college,public_building,university,theatre,courthouse,bar,cinema,post_office,community_centre,marketplace,pharmacy,childcare,social_facility,Location,Date_Extracted,water_point,bbq,ferry_terminal,car_wash,internet_cafe,recycling,bureau_de_change,studio,health_post,dentist,taxi,toilets,animal_breeding,events_venue,shelter,prison,money_transfer,bench,kindergarten,fountain,waste_transfer_station,Government Agency,nursing_home,rescue_station,post_box,clock,weighbridge,coast_guard,conference_centre,food_court,stage,pub,drinking_water,nightclub,payment_centre,parking_space,telephone,arts_centre,motorcycle_parking,bicycle_repair_station,yes,bicycle_parking,dive_centre,ice_cream,waste_basket,grave_yard,car_rental,veterinary,prep_school,music_school,research_institute,post_depot,hunting_stand,vending_machine,waste_disposal,parking_entrance,gambling,Ice plant,biergarten,electricity,smoking_area,motorcycle_rental,bicycle_rental,waiting shed,crematorium,planetarium,language_school,charging_station,ranger_station,fish_spa,daycare center,basketball court,sports complex,office,Provincial Capitol,Old Hospital,payment_terminal,court,retail,vehicle_inspection,customs,shower,lounger,compressed_air,driving_school,casino,love_hotel,jeepney_station,boat_rental,watering_place,service,social_centre,market,reception_hall,air_filling,lake,barangay hall,guardhouse,fixme,table,training,coworking_space,jeepney_terminal,dancing_school,courier,driver_training,church,events_center,meditation_centre,letter_box,payment_centre;bureau_de_change,hitching_post,canteen,money_lender,give_box,scooter_rental,cafeteria,mortuary,reception_desk,dressing_room,fablab,bus_stop,public_bath,funeral_hall,security,karaoke_box,cable,healthcare,fx_station,museum,tricylce_station,animal_shelter,Sisters' Convent,caltex_station-atlag,Convent,loading_dock,water_tap,grain_dryer,dryer,funeral_directors,barangay Hall,security_booth,preschool,drugstore,first_aid,resort,device_charging_station,mill,warehouse,handwashing,pawnbroker,spa,sports_hall,birthing_centre,private residence,events_place,public_transport,retreat_house,industrial,place_of_mourning,photo_booth,business_center,chapel,lavoir,sanitary_dump_station,boat_storage,dormitory,Karaoke Bar,closed_restaurant,civic,outpost,closed_fuel,homes,health_station,dojo,building,sotore,park,quarantine_facility,wheel_bath,grilled_chicken,satellite_tv,traditional_medicine,baby_hatch,stripclub,wifi,pepsi depot,stables,covered_court,laboratory,public_buildings,basketballcourt,barangay hall_cabulalaan,Basketball Court,lounge,home,animal_boarding,flight_school,barangay_outpost,parcel_locker,Coliseum,appliance,multipurpose_pavement,refugee_site,multi-purpose shed,multi-purpose hall,cockpit,triage,lecture_hall,scrapyard,tricycle_station,jeep_station,pedicab_terminal,grave,auditorium,vacant,concert_hall,jeepney terminal,computer,hut,airsoft_gamesite,shower;toilets,convention_centre,gym,ticket_booth,fishing_port,disused,village_hall,food stall,farm,Gym,payment_center,billards,clinic;police,townhall;childcare;clinic,Commercial building,restaurant;event_location,vegetable_market,bar;pharmacy,binoculars,animal_training,townhal,swimming_pool,retirement_home,plant_nursery,community_centre;bench,events_centre,waterwell,public,social_facility without social_facility,poultry,pedicab_station,Public_Transpotation,cooking_school,social_club,funeral_home,taxi Jeeps,place_of_worship without religion,wheeler,car_pooling,terminal,restaurant;cafe,housing,clinic;laboratory,fuel;toilets,school inside amenity,barangay_hall,bank;pharmacy,jeep_terminal;restaurant,health_outpost,community_hall,Sari—Sari Store,cockfighting house,tricycle,jogging path,house,grocery,rickshaw,shed,utilities,truck_scale,mall,dryer_place,register_office,naka,pavilion,Iglesia ni Cristo,Contractor,district hospital,health_facility,cafe;motorcycle_rental,rescue-station,bakery,evacuation center,beach,restaurant;dive_centre,transport,Transport,car_sharing,village,recreational_ground,cockfighting
26,13,16,4,1,10,2,,4,,,4,1,,1,,,2,2,1,,,1,,,1,1,,1,,,Batanes,01/09/2023,,,5,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,419,448,325,286,347,283,39,54,38,22,105,63,95,403,3,8,86,41,4,23,4,12,22,6,32,34,48,158,13,11,Batangas,01/09/2023,2,2,33,29,32,7,7,8,1,99,21,58,3,10,31,4,17,11,25,10,,,1,,1,1,3,5,1,15,,5,,3,9,63,3,1,12,1,1,3,8,1,5,1,,13,3,1,,,,1,,10,6,,,,,,,,2,,,,,,,,,,,,1,,,4,,11,5,5,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,247,566,153,97,276,97,52,71,20,14,163,29,39,352,,7,25,19,,15,3,6,24,4,16,49,32,134,23,20,Benguet,01/09/2023,6,6,,27,32,3,4,6,17,38,22,85,,3,254,3,13,84,9,13,1,,,1,1,3,,,4,11,1,3,1,8,5,32,1,3,12,1,,14,,6,10,4,2,13,,,,1,1,2,25,36,2,,3,,,1,12,,1,,,,3,,,,,,,,,,,4,,,,1,5,,,1,,,,,,,,,,,,4,4,3,3,3,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,31,2,8,6,4,3,3,4,2,3,2,1,3,1,,1,1,,,2,,1,2,,2,2,4,6,1,3,Biliran,01/09/2023,,,3,1,1,,,,4,,,2,,,5,,,,,1,,,,,5,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,401,297,212,145,132,61,42,36,28,27,71,9,57,90,5,8,25,18,11,17,7,3,43,,11,39,61,43,21,42,Bohol,01/09/2023,5,2,22,12,19,1,9,1,4,4,7,17,2,6,25,3,2,5,11,4,,,,,,,,,,8,9,2,3,3,,2,1,2,4,,,,39,,6,3,21,4,,,,,,4,1,,2,,,,,4,4,,1,,1,3,1,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,,,,,1,,,,,,,,,,,,,,5,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,127,115,55,108,51,49,8,14,19,6,54,5,34,69,2,4,31,17,36,5,1,3,8,,18,13,27,32,6,1,Bukidnon,01/09/2023,2,2,2,5,3,3,,1,9,1,,18,4,2,7,2,1,9,6,8,,,,,3,,,,,,1,3,4,,1,4,,,1,,,2,,2,,6,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,580,375,182,441,421,250,69,55,60,23,119,43,73,408,2,6,99,63,7,13,3,10,24,8,33,46,88,277,22,39,Bulacan,01/09/2023,4,1,4,45,35,11,12,1,13,54,22,42,2,10,47,4,12,33,11,9,,,2,2,4,2,2,,,11,1,10,2,1,20,24,4,,10,,,5,,6,,6,5,22,4,,,,1,3,,7,3,,,,2,,2,,1,,1,,,,,,,,,,1,,,2,,2,,8,12,2,,5,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,118,76,46,118,45,43,5,25,36,11,18,10,24,37,1,6,27,20,7,11,1,3,4,,5,12,22,17,5,2,Cagayan,01/09/2023,,,11,,1,1,,1,4,1,5,3,,,3,3,1,3,13,3,,,,,1,,,2,,1,,,1,,,3,1,,1,,,,,,,8,,2,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,63,46,39,40,18,21,10,16,15,7,9,2,12,4,,1,11,7,1,1,,1,12,,4,4,15,27,2,2,Camarines Norte,01/09/2023,,,8,2,2,,1,,1,2,5,3,,1,6,1,,,,1,,,,,,,,,,2,,5,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,220,128,72,143,58,78,11,31,25,12,34,7,31,47,1,3,26,28,,21,1,3,17,3,9,34,30,69,9,13,Camarines Sur,01/09/2023,,,8,4,3,,1,5,4,5,1,11,3,1,13,,7,8,5,,,,,,,,,,,3,1,1,1,1,1,2,1,,1,,,,,1,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
