school,place_of_worship,restaurant,townhall,fuel,fast_food,bank,atm,police,bus_station,fire_station,cafe,doctors,clinic,parking,monastery,library,hospital,college,public_building,university,theatre,courthouse,bar,cinema,post_office,community_centre,marketplace,pharmacy,childcare,social_facility,Location,Date_Extracted,water_point,bbq,ferry_terminal,car_wash,internet_cafe,recycling,bureau_de_change,studio,health_post,dentist,taxi,toilets,animal_breeding,events_venue,shelter,prison,money_transfer,bench,kindergarten,fountain,waste_transfer_station,Government Agency,nursing_home,rescue_station,post_box,clock,weighbridge,coast_guard,conference_centre,food_court,stage,pub,drinking_water,nightclub,payment_centre,parking_space,telephone,arts_centre,motorcycle_parking,bicycle_repair_station,yes,bicycle_parking,dive_centre,ice_cream,waste_basket,grave_yard,car_rental,veterinary,prep_school,music_school,research_institute,post_depot,hunting_stand,vending_machine,waste_disposal,parking_entrance,gambling,Ice plant,biergarten,electricity,smoking_area,motorcycle_rental,bicycle_rental,waiting shed,crematorium,planetarium,language_school,charging_station,ranger_station,fish_spa,daycare center,basketball court,sports complex,office,Provincial Capitol,Old Hospital,payment_terminal,court,retail,vehicle_inspection,customs,shower,lounger,compressed_air,driving_school,casino,love_hotel,jeepney_station,boat_rental,watering_place,service,social_centre,market,reception_hall,air_filling,lake,barangay hall,guardhouse,fixme,table,training,coworking_space,jeepney_terminal,dancing_school,courier,driver_training,church,events_center,meditation_centre,letter_box,payment_centre;bureau_de_change,hitching_post,canteen,money_lender,give_box,scooter_rental,cafeteria,mortuary,reception_desk,dressing_room,fablab,bus_stop,public_bath,funeral_hall,security,karaoke_box,cable,healthcare,fx_station,museum,tricylce_station,animal_shelter,Sisters' Convent,caltex_station-atlag,Convent,loading_dock,water_tap,grain_dryer,dryer,funeral_directors,barangay Hall,security_booth,preschool,drugstore,first_aid,resort,device_charging_station,mill,warehouse,handwashing,pawnbroker,spa,sports_hall,birthing_centre,private residence,events_place,public_transport,retreat_house,industrial,place_of_mourning,photo_booth,business_center,chapel,lavoir,sanitary_dump_station,boat_storage,dormitory,Karaoke Bar,closed_restaurant,civic,outpost,closed_fuel,homes,health_station,dojo,building,sotore,park,quarantine_facility,wheel_bath,grilled_chicken,satellite_tv,traditional_medicine,baby_hatch,stripclub,wifi,pepsi depot,stables,covered_court,laboratory,public_buildings,basketballcourt,barangay hall_cabulalaan,Basketball Court,lounge,home,animal_boarding,flight_school,barangay_outpost,parcel_locker,Coliseum,appliance,multipurpose_pavement,refugee_site,multi-purpose shed,multi-purpose hall,cockpit,triage,lecture_hall,scrapyard,tricycle_station,jeep_station,pedicab_terminal,grave,auditorium,vacant,concert_hall,jeepney terminal,computer,hut,airsoft_gamesite,shower;toilets,convention_centre,gym,ticket_booth,fishing_port,disused,village_hall,food stall,farm,Gym,payment_center,billards,clinic;police,townhall;childcare;clinic,Commercial building,restaurant;event_location,vegetable_market,bar;pharmacy,binoculars,animal_training,townhal,swimming_pool,retirement_home,plant_nursery,community_centre;bench,events_centre,waterwell,public,social_facility without social_facility,poultry,pedicab_station,Public_Transpotation,cooking_school,social_club,funeral_home,taxi Jeeps,place_of_worship without religion,wheeler,car_pooling,terminal,restaurant;cafe,housing,clinic;laboratory,fuel;toilets,school inside amenity,barangay_hall,bank;pharmacy,jeep_terminal;restaurant,health_outpost,community_hall,Sari—Sari Store,cockfighting house,tricycle,jogging path,house,grocery,rickshaw,shed,utilities,truck_scale,mall,dryer_place,register_office,naka,pavilion,Iglesia ni Cristo,Contractor,district hospital,health_facility,cafe;motorcycle_rental,rescue-station,bakery,evacuation center,beach,restaurant;dive_centre,transport,Transport,car_sharing,village,recreational_ground,cockfighting
54,14,38,6,11,10,2,2,1,1,1,4,,,5,,,1,3,1,,,,3,,2,1,8,2,,,Camiguin,01/09/2023,,,4,,,,1,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,207,56,60,47,29,26,29,17,4,16,11,4,37,20,,1,25,14,1,11,3,2,4,,4,13,28,15,5,2,Capiz,01/09/2023,2,,3,7,21,1,,4,2,16,1,1,1,2,61,1,5,33,36,2,,,,1,,,,2,,66,1,,4,1,1,3,,1,1,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,1,,,,,,,,,,,,,4,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,40,15,16,12,4,7,1,9,4,5,4,1,4,11,,2,11,7,1,2,,,3,,2,7,3,8,3,,Catanduanes,01/09/2023,1,,4,1,,1,,,1,,1,3,,,7,,,,,,,,,,1,,,2,,1,1,1,,,,,,,1,,,2,,,,3,,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,587,712,264,389,714,278,309,107,62,26,208,33,117,1294,5,12,91,61,12,28,5,10,41,11,35,155,75,273,7,16,Cavite,01/09/2023,4,7,,65,25,29,27,3,6,106,50,152,3,22,114,15,30,130,20,22,4,,2,1,2,3,,1,1,16,2,10,20,5,20,438,4,,92,3,,45,,5,11,6,7,39,2,,,1,,12,9,150,3,,,,11,,1,,2,,,,,,,,,1,,,7,,,6,,4,,6,15,3,1,,,,,6,,,,,,,,,3,,,,,,1,,,14,,,1,,,,,,,1,,,,,,1,,1,1,,,,,,,58,,,,,,16,,,,16,7,5,3,3,3,3,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,578,899,679,405,511,368,112,80,66,61,273,39,93,465,13,10,62,59,5,65,6,15,118,6,38,107,119,291,50,26,Cebu,01/09/2023,3,4,27,40,25,6,18,7,8,35,23,86,,7,59,9,10,48,16,27,2,,2,3,2,,,4,1,33,5,21,9,10,2,7,2,,22,5,,16,42,11,1,11,19,7,2,,,1,,5,3,10,1,,2,,6,1,5,,,,4,,,,,,,1,,,3,,,8,,2,,7,1,1,4,,1,1,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,1,1,,,4,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,7,4,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,52,20,57,45,8,16,4,11,10,5,9,3,4,3,,1,6,3,7,1,,1,,1,2,6,11,13,1,1,Compostela Valley,01/09/2023,1,,,3,4,,,1,3,,3,3,1,,5,,,1,8,,,,,,,,,1,,,2,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,181,89,78,120,35,57,12,21,13,10,33,3,19,62,,1,31,23,3,2,,,12,3,2,9,16,25,9,6,Davao del Norte,01/09/2023,1,,2,1,9,,2,1,6,,7,7,,,13,4,3,3,19,2,,,,,,,,,,1,4,5,1,,,1,,,1,,,,1,,1,2,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,516,651,236,377,332,270,80,60,32,24,165,58,99,331,3,11,60,86,31,18,4,8,53,6,36,39,42,160,18,33,Davao del Sur,01/09/2023,,,7,39,54,8,5,8,19,22,41,65,31,1,73,1,10,59,93,10,,,2,2,1,,1,4,,11,8,24,11,9,1,1,2,6,10,1,,14,,4,4,7,3,15,1,1,1,,,2,2,10,1,,2,,,,,,,,1,,,,,,,3,,,,,,4,,2,,4,2,2,,,,,,,,,,,,,2,5,3,3,,,,,,,,,,,,,,,,1,,,,,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,58,31,42,45,15,21,6,11,12,3,7,4,2,5,2,,7,8,8,1,,1,2,,4,7,12,8,1,1,Davao Oriental,01/09/2023,,,1,1,,,,,9,,,6,,,4,1,2,2,7,4,,,,,,1,,3,,2,1,,,,,3,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,8,3,13,,1,8,,1,,2,,5,1,1,,1,3,,1,,,,,,,2,2,1,,,Dinagat Islands,01/09/2023,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,126,26,101,58,11,13,5,9,10,11,5,6,14,7,,1,20,6,,5,3,1,3,,6,28,16,26,48,3,Eastern Samar,01/09/2023,1,,26,3,,1,2,1,3,6,,2,,,8,2,,15,3,4,,,,,,,,2,,1,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,48,13,22,23,5,5,1,6,,4,3,2,,4,2,,3,3,,1,,1,1,,1,,10,1,3,2,Guimaras,01/09/2023,1,,7,1,,,,,,,,2,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,41,22,18,12,2,10,2,9,7,4,2,1,6,9,,,11,,6,4,,1,5,,3,7,9,1,3,6,Ifugao,01/09/2023,,,,,2,2,1,,1,,,5,,,41,,,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,97,81,61,65,54,36,7,23,31,8,11,10,16,26,1,1,23,7,15,4,3,5,6,,4,15,17,42,7,6,Ilocos Norte,01/09/2023,,,,,5,,1,,1,2,3,23,,1,16,,2,1,9,5,,,,,,,,,1,2,,2,1,,,,1,1,,,,4,1,,,,1,1,1,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,73,73,43,75,56,55,14,15,13,10,23,5,8,26,,4,21,11,32,1,,2,6,,15,22,19,36,,6,Ilocos Sur,01/09/2023,,1,,5,4,,3,2,3,5,2,14,,4,4,2,5,12,5,5,,,,,,1,,,,4,,3,2,,,1,1,,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,478,325,250,229,262,182,48,59,41,43,132,29,84,222,6,15,38,50,13,20,7,9,25,3,22,112,93,200,26,12,Iloilo,01/09/2023,2,3,13,33,16,3,9,16,11,45,3,80,,14,146,3,8,63,46,21,,,2,,1,,2,2,1,8,8,2,4,6,2,27,2,,17,,,62,,2,3,6,9,4,1,,2,1,1,1,2,,1,,2,,,,1,,1,,,,,,,,,,,,2,,,3,,1,,10,,4,,1,1,,,,,,,,,,,,1,3,,,1,,,,,,,,,,,,3,,,,,,,3,,1,,,,,,,,,,,,,,,,2,,,,,1,,,,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,151,49,45,116,29,65,9,17,24,6,8,8,5,49,,7,37,39,7,14,,2,,1,5,21,24,20,1,3,Isabela,01/09/2023,,,3,4,1,2,,5,,3,1,7,1,,9,1,,1,2,,,,,,2,1,,,,,,1,1,1,,,1,,6,,,4,,,,4,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,13,10,5,12,4,5,5,4,2,2,3,2,1,1,,1,6,5,1,1,,,1,,,2,4,2,,,Kalinga,01/09/2023,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,180,207,125,122,114,76,9,38,13,8,26,11,18,102,,1,19,15,4,6,1,5,9,,10,24,20,51,12,4,La Union,01/09/2023,,1,,15,4,5,1,2,7,12,22,19,1,3,49,2,7,4,4,2,1,,,,1,,,1,,5,1,1,,,1,,,,5,,1,1,1,3,,1,,4,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,3,,1,,,3,2,1,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,597,690,275,302,437,318,122,72,74,33,185,55,91,732,3,20,68,91,9,23,2,8,34,7,36,57,52,214,12,29,Laguna,01/09/2023,3,1,12,46,64,15,11,8,8,80,95,100,8,18,83,9,8,248,27,20,,,,,,1,,1,,35,3,9,7,2,12,233,13,,13,3,1,12,,12,24,3,4,16,3,1,2,,,7,,4,7,,,,,,3,,2,,,,,,,,,2,,,2,,,3,,5,,2,12,3,1,,,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,1,,,2,,,,,,,,,,,,,7,,,,,,,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,223,57,70,72,37,28,7,27,12,4,8,15,25,12,,4,19,15,3,1,1,1,7,1,7,29,18,35,7,1,Lanao del Norte,01/09/2023,36,,,8,5,15,,3,5,1,4,3,,3,11,,2,,40,1,,,,,,,,1,,1,,,2,,,,,,,,,,,,,7,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,26,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,105,21,21,31,3,4,1,9,1,1,12,3,6,,,1,6,17,,1,,2,,,1,16,6,12,,1,Lanao del Sur,01/09/2023,1,,,2,3,,1,,2,3,,1,,1,1,1,2,11,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,445,259,198,171,270,117,43,89,31,24,75,32,101,117,1,15,51,44,42,16,21,6,22,5,24,212,71,142,70,7,Leyte,01/09/2023,2,8,13,17,22,8,2,5,12,18,6,45,951,10,83,4,22,12,18,10,3,,1,,,,,,3,20,10,3,12,2,4,14,1,2,1,2,1,6,,1,1,6,,4,3,,2,1,,2,3,4,3,,1,,,,,,,,2,,,,,,,1,,,5,,,2,,3,,1,3,,,,,,,1,,,,,,,4,,3,,,,,,,,,,,,,,,,,2,,,,,1,,,1,,1,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,84,65,46,33,33,20,7,46,6,7,9,9,3,2,,2,14,21,18,7,,1,1,2,9,9,19,18,5,1,Maguindanao,01/09/2023,,,,1,3,,1,1,2,,,1,,1,2,,,,1,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,31,7,17,9,4,3,4,6,2,2,2,1,3,1,,1,4,3,,,1,3,,,4,4,6,6,,,Marinduque,01/09/2023,,1,1,2,2,,,,,3,,1,,1,10,,1,7,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,24,7,13,20,7,11,5,9,3,1,,9,3,2,,1,7,4,,1,,1,,,1,11,9,3,2,5,Masbate,01/09/2023,,,5,,,,1,,,,,,,1,4,3,1,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,37,26,54,37,13,40,3,10,8,6,13,7,6,15,,3,15,8,1,6,,3,1,,5,8,14,16,1,1,Misamis Occidental,01/09/2023,2,,2,3,2,,1,1,1,1,,1,1,3,1,1,1,2,3,4,,,,,,,,2,,1,,,,,1,,,,1,,,,,,1,10,,2,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,202,179,82,192,133,123,28,26,20,18,69,9,34,163,1,6,30,23,4,12,3,5,20,2,15,16,32,93,6,9,Misamis Oriental,01/09/2023,3,,2,29,20,1,1,10,12,12,22,22,,4,30,3,1,8,12,6,1,,,,,1,,1,,10,2,3,1,,4,1,1,,7,,,14,1,2,,2,2,7,,,,,,,,7,1,,,,,1,,,,,,2,,,,,,,,,,,,,,4,,3,1,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,37,52,17,21,5,6,,10,16,5,31,5,4,16,,2,10,2,,1,,1,5,,3,2,4,11,9,1,Mountain Province,01/09/2023,,,,2,,1,,2,1,1,,7,,,11,1,,,3,,,,,,,,,,,,,,,,1,1,,3,,,,,,,,1,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
