river,Location,Date_Extracted,pond,lake,lagoon,basin,oxbow,reservoir,canal,stream,drain,lake;pond,fishpond,tidal,wastewater,meander,fountain,yes,Flooded,lock,salt_pool,golf,ditch,stream_pool,moat,pool,Swimming_Pool,cove,Creek,intermittent,bank,shallow,Resrvoiur,dam,wetland,spring,estuary,natural,Deep_Well,Falls,reflecting_pool,strait
166,Negros Occidental,01/09/2023,53,22,12,13,1,6,1,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
69,Negros Oriental,01/09/2023,96,13,1,,,2,1,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,
11,North Cotabato,01/09/2023,35,20,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Northern Samar,01/09/2023,63,3,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
83,Nueva Ecija,01/09/2023,316,51,,,,4,2,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
43,Nueva Vizcaya,01/09/2023,35,13,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Occidental Mindoro,01/09/2023,585,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Oriental Mindoro,01/09/2023,12,13,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Pampanga,01/09/2023,3464,104,,22,1,15,2,2,,,,,25,,,,,,,,,,,,1,,,,,,,,,,,,,,,
123,Pangasinan,01/09/2023,1143,23,17,3,1,12,1,1,,,69,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,
106,Quezon,01/09/2023,405,34,1,3,,10,7,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
29,Quirino,01/09/2023,82,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rizal,01/09/2023,22,5,,1,,5,,3,,,,,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,
10,Romblon,01/09/2023,7,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Samar,01/09/2023,76,8,,4,2,23,1,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2,1,,
11,Sarangani,01/09/2023,22,10,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Siquijor,01/09/2023,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sorsogon,01/09/2023,327,52,1,22,3,10,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
24,South Cotabato,01/09/2023,151,40,,11,,20,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Southern Leyte,01/09/2023,28,15,9,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
