date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2017-07-30,17.0,,Zamboanga del Sur,PHL,2021-01-10
2017-08-06,19.0,,Zamboanga del Sur,PHL,2021-01-10
2017-08-13,32.0,,Zamboanga del Sur,PHL,2021-01-10
2017-08-20,29.0,,Zamboanga del Sur,PHL,2021-01-10
2017-08-27,35.0,,Zamboanga del Sur,PHL,2021-01-10
2017-09-10,19.0,,Zamboanga del Sur,PHL,2021-01-10
2017-09-24,4.0,,Zamboanga del Sur,PHL,2021-01-10
2017-10-08,10.0,,Zamboanga del Sur,PHL,2021-01-10
2017-10-22,14.0,,Zamboanga del Sur,PHL,2021-01-10
2017-11-05,8.0,,Zamboanga del Sur,PHL,2021-01-10
2017-11-19,15.0,,Zamboanga del Sur,PHL,2021-01-10
2017-11-26,11.0,,Zamboanga del Sur,PHL,2021-01-10
2017-12-03,13.0,,Zamboanga del Sur,PHL,2021-01-10
2017-12-10,7.0,,Zamboanga del Sur,PHL,2021-01-10
2017-12-17,16.0,,Zamboanga del Sur,PHL,2021-01-10
2017-12-24,15.0,,Zamboanga del Sur,PHL,2021-01-10
2017-12-31,7.0,,Zamboanga del Sur,PHL,2021-01-10
2017-09-03,1.0,,Zamboanga del Sur,PHL,2021-01-10
2017-09-17,0.0,,Zamboanga del Sur,PHL,2021-01-10
2017-10-01,0.0,,Zamboanga del Sur,PHL,2021-01-10
2017-10-15,0.0,,Zamboanga del Sur,PHL,2021-01-10
2017-10-29,0.0,,Zamboanga del Sur,PHL,2021-01-10
2018-01-07,13.0,,Zamboanga del Sur,PHL,2021-01-10
2018-01-14,18.0,,Zamboanga del Sur,PHL,2021-01-10
2018-01-21,18.0,,Zamboanga del Sur,PHL,2021-01-10
2018-01-28,23.0,,Zamboanga del Sur,PHL,2021-01-10
2018-02-04,25.0,,Zamboanga del Sur,PHL,2021-01-10
2018-02-11,41.0,,Zamboanga del Sur,PHL,2021-01-10
2018-02-18,25.0,,Zamboanga del Sur,PHL,2021-01-10
2018-02-25,38.0,,Zamboanga del Sur,PHL,2021-01-10
2018-03-04,34.0,,Zamboanga del Sur,PHL,2021-01-10
2018-03-11,31.0,,Zamboanga del Sur,PHL,2021-01-10
2018-03-18,29.0,,Zamboanga del Sur,PHL,2021-01-10
2018-03-25,24.0,,Zamboanga del Sur,PHL,2021-01-10
