date,cases,Cases (Forecast),Subregion,ISO Country Code,Date Forecast
2017-07-30,21.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-06,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-13,8.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-20,28.0,,Zamboanga del Norte,PHL,2021-01-10
2017-08-27,31.0,,Zamboanga del Norte,PHL,2021-01-10
2017-09-10,7.0,,Zamboanga del Norte,PHL,2021-01-10
2017-09-24,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-08,12.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-22,9.0,,Zamboanga del Norte,PHL,2021-01-10
2017-11-05,23.0,,Zamboanga del Norte,PHL,2021-01-10
2017-11-19,14.0,,Zamboanga del Norte,PHL,2021-01-10
2017-11-26,24.0,,Zamboanga del Norte,PHL,2021-01-10
2017-12-03,11.0,,Zamboanga del Norte,PHL,2021-01-10
2017-12-10,13.0,,Zamboanga del Norte,PHL,2021-01-10
2017-12-17,19.0,,Zamboanga del Norte,PHL,2021-01-10
2017-12-24,11.0,,Zamboanga del Norte,PHL,2021-01-10
2017-12-31,1.0,,Zamboanga del Norte,PHL,2021-01-10
2017-09-03,0.0,,Zamboanga del Norte,PHL,2021-01-10
2017-09-17,0.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-01,0.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-15,0.0,,Zamboanga del Norte,PHL,2021-01-10
2017-10-29,0.0,,Zamboanga del Norte,PHL,2021-01-10
2018-01-07,31.0,,Zamboanga del Norte,PHL,2021-01-10
2018-01-14,23.0,,Zamboanga del Norte,PHL,2021-01-10
2018-01-21,21.0,,Zamboanga del Norte,PHL,2021-01-10
2018-01-28,22.0,,Zamboanga del Norte,PHL,2021-01-10
2018-02-04,11.0,,Zamboanga del Norte,PHL,2021-01-10
2018-02-11,18.0,,Zamboanga del Norte,PHL,2021-01-10
2018-02-18,8.0,,Zamboanga del Norte,PHL,2021-01-10
2018-02-25,5.0,,Zamboanga del Norte,PHL,2021-01-10
2018-03-04,6.0,,Zamboanga del Norte,PHL,2021-01-10
2018-03-11,10.0,,Zamboanga del Norte,PHL,2021-01-10
2018-03-18,6.0,,Zamboanga del Norte,PHL,2021-01-10
2018-03-25,8.0,,Zamboanga del Norte,PHL,2021-01-10
2018-04-01,15.0,,Zamboanga del Norte,PHL,2021-01-10
2018-04-08,11.0,,Zamboanga del Norte,PHL,2021-01-10
2018-04-15,9.0,,Zamboanga del Norte,PHL,2021-01-10
2018-04-22,3.0,,Zamboanga del Norte,PHL,2021-01-10
2018-04-29,7.0,,Zamboanga del Norte,PHL,2021-01-10
2018-05-06,9.0,,Zamboanga del Norte,PHL,2021-01-10
2018-05-13,9.0,,Zamboanga del Norte,PHL,2021-01-10
2018-05-20,15.0,,Zamboanga del Norte,PHL,2021-01-10
2018-05-27,9.0,,Zamboanga del Norte,PHL,2021-01-10
2018-06-03,25.0,,Zamboanga del Norte,PHL,2021-01-10
2018-06-10,19.0,,Zamboanga del Norte,PHL,2021-01-10
2018-06-17,13.0,,Zamboanga del Norte,PHL,2021-01-10
2018-06-24,18.0,,Zamboanga del Norte,PHL,2021-01-10
2018-07-01,13.0,,Zamboanga del Norte,PHL,2021-01-10
2018-07-08,15.0,,Zamboanga del Norte,PHL,2021-01-10
2018-07-15,37.0,,Zamboanga del Norte,PHL,2021-01-10
2018-07-22,36.0,,Zamboanga del Norte,PHL,2021-01-10
2018-07-29,26.0,,Zamboanga del Norte,PHL,2021-01-10
2018-08-05,27.0,,Zamboanga del Norte,PHL,2021-01-10
2018-08-12,57.0,,Zamboanga del Norte,PHL,2021-01-10
2018-08-19,55.0,,Zamboanga del Norte,PHL,2021-01-10
2018-08-26,61.0,,Zamboanga del Norte,PHL,2021-01-10
2018-09-02,37.0,,Zamboanga del Norte,PHL,2021-01-10
2018-09-09,25.0,,Zamboanga del Norte,PHL,2021-01-10
2018-09-16,12.0,,Zamboanga del Norte,PHL,2021-01-10
2018-09-23,35.0,,Zamboanga del Norte,PHL,2021-01-10
2018-09-30,36.0,,Zamboanga del Norte,PHL,2021-01-10
2018-10-07,42.0,,Zamboanga del Norte,PHL,2021-01-10
2018-10-14,66.0,,Zamboanga del Norte,PHL,2021-01-10
2018-10-21,78.0,,Zamboanga del Norte,PHL,2021-01-10
2018-10-28,70.0,,Zamboanga del Norte,PHL,2021-01-10
2018-11-04,79.0,,Zamboanga del Norte,PHL,2021-01-10
2018-11-11,100.0,,Zamboanga del Norte,PHL,2021-01-10
2018-11-18,72.0,,Zamboanga del Norte,PHL,2021-01-10
2018-11-25,106.0,,Zamboanga del Norte,PHL,2021-01-10
2018-12-02,94.0,,Zamboanga del Norte,PHL,2021-01-10
2018-12-09,105.0,,Zamboanga del Norte,PHL,2021-01-10
2018-12-16,79.0,,Zamboanga del Norte,PHL,2021-01-10
2018-12-23,15.0,,Zamboanga del Norte,PHL,2021-01-10
2018-12-30,16.0,,Zamboanga del Norte,PHL,2021-01-10
2019-01-13,70.0,,Zamboanga del Norte,PHL,2021-01-10
2019-01-20,90.0,,Zamboanga del Norte,PHL,2021-01-10
2019-01-27,102.0,,Zamboanga del Norte,PHL,2021-01-10
2019-02-03,78.0,,Zamboanga del Norte,PHL,2021-01-10
2019-02-10,62.0,,Zamboanga del Norte,PHL,2021-01-10
2019-02-17,46.0,,Zamboanga del Norte,PHL,2021-01-10
2019-02-24,31.0,,Zamboanga del Norte,PHL,2021-01-10
2019-03-03,35.0,,Zamboanga del Norte,PHL,2021-01-10
2019-03-10,16.0,,Zamboanga del Norte,PHL,2021-01-10
2019-03-17,43.0,,Zamboanga del Norte,PHL,2021-01-10
2019-03-24,56.0,,Zamboanga del Norte,PHL,2021-01-10
2019-03-31,49.0,,Zamboanga del Norte,PHL,2021-01-10
2019-04-07,40.0,,Zamboanga del Norte,PHL,2021-01-10
2019-04-14,50.0,,Zamboanga del Norte,PHL,2021-01-10
2019-04-21,28.0,,Zamboanga del Norte,PHL,2021-01-10
2019-04-28,31.0,,Zamboanga del Norte,PHL,2021-01-10
2019-05-05,45.0,,Zamboanga del Norte,PHL,2021-01-10
2019-05-12,32.0,,Zamboanga del Norte,PHL,2021-01-10
2019-05-19,35.0,,Zamboanga del Norte,PHL,2021-01-10
2019-05-26,38.0,,Zamboanga del Norte,PHL,2021-01-10
2019-06-02,41.0,,Zamboanga del Norte,PHL,2021-01-10
2019-06-09,44.0,,Zamboanga del Norte,PHL,2021-01-10
2019-06-16,55.0,,Zamboanga del Norte,PHL,2021-01-10
2019-06-23,62.0,,Zamboanga del Norte,PHL,2021-01-10
2019-06-30,74.0,,Zamboanga del Norte,PHL,2021-01-10
2019-07-07,100.0,,Zamboanga del Norte,PHL,2021-01-10
2019-07-14,112.0,,Zamboanga del Norte,PHL,2021-01-10
2019-07-21,135.0,,Zamboanga del Norte,PHL,2021-01-10
2019-07-28,138.42857142857142,,Zamboanga del Norte,PHL,2021-01-10
2019-08-04,141.85714285714286,,Zamboanga del Norte,PHL,2021-01-10
2019-08-11,145.28571428571428,,Zamboanga del Norte,PHL,2021-01-10
2019-08-18,148.71428571428572,,Zamboanga del Norte,PHL,2021-01-10
2019-08-25,152.14285714285714,,Zamboanga del Norte,PHL,2021-01-10
2019-09-01,155.57142857142856,,Zamboanga del Norte,PHL,2021-01-10
2019-09-08,159.0,,Zamboanga del Norte,PHL,2021-01-10
2019-09-15,145.5,,Zamboanga del Norte,PHL,2021-01-10
2019-09-22,132.0,,Zamboanga del Norte,PHL,2021-01-10
2019-09-29,178.0,,Zamboanga del Norte,PHL,2021-01-10
2019-10-06,172.0,,Zamboanga del Norte,PHL,2021-01-10
2019-10-13,166.0,,Zamboanga del Norte,PHL,2021-01-10
2019-10-20,134.0,,Zamboanga del Norte,PHL,2021-01-10
2019-10-27,117.0,,Zamboanga del Norte,PHL,2021-01-10
2019-11-03,136.0,,Zamboanga del Norte,PHL,2021-01-10
2019-11-10,142.0,,Zamboanga del Norte,PHL,2021-01-10
2019-11-17,119.0,,Zamboanga del Norte,PHL,2021-01-10
2019-11-24,104.0,,Zamboanga del Norte,PHL,2021-01-10
2019-12-01,91.0,,Zamboanga del Norte,PHL,2021-01-10
2019-12-08,98.0,,Zamboanga del Norte,PHL,2021-01-10
2019-12-15,103.0,,Zamboanga del Norte,PHL,2021-01-10
2019-12-22,72.0,,Zamboanga del Norte,PHL,2021-01-10
2019-12-29,37.0,,Zamboanga del Norte,PHL,2021-01-10
2020-01-05,46.0,,Zamboanga del Norte,PHL,2021-01-10
2020-01-12,40.0,,Zamboanga del Norte,PHL,2021-01-10
2020-01-19,94.0,,Zamboanga del Norte,PHL,2021-01-10
2020-01-26,79.0,,Zamboanga del Norte,PHL,2021-01-10
2020-02-02,60.0,,Zamboanga del Norte,PHL,2021-01-10
2020-02-09,68.0,,Zamboanga del Norte,PHL,2021-01-10
2020-02-16,75.0,,Zamboanga del Norte,PHL,2021-01-10
2020-02-23,59.0,,Zamboanga del Norte,PHL,2021-01-10
2020-03-01,47.0,,Zamboanga del Norte,PHL,2021-01-10
2020-03-08,42.0,,Zamboanga del Norte,PHL,2021-01-10
2020-03-15,26.0,,Zamboanga del Norte,PHL,2021-01-10
2020-03-22,29.0,,Zamboanga del Norte,PHL,2021-01-10
2020-03-29,19.0,,Zamboanga del Norte,PHL,2021-01-10
2020-04-05,10.0,,Zamboanga del Norte,PHL,2021-01-10
2020-04-12,5.0,,Zamboanga del Norte,PHL,2021-01-10
2020-04-19,10.0,,Zamboanga del Norte,PHL,2021-01-10
2020-04-26,17.0,,Zamboanga del Norte,PHL,2021-01-10
2020-05-03,9.0,,Zamboanga del Norte,PHL,2021-01-10
2020-05-10,13.0,,Zamboanga del Norte,PHL,2021-01-10
2020-05-17,6.0,,Zamboanga del Norte,PHL,2021-01-10
2020-05-24,12.0,,Zamboanga del Norte,PHL,2021-01-10
2020-05-31,16.0,,Zamboanga del Norte,PHL,2021-01-10
2020-06-07,6.0,,Zamboanga del Norte,PHL,2021-01-10
2020-06-14,15.0,,Zamboanga del Norte,PHL,2021-01-10
2020-06-21,15.0,,Zamboanga del Norte,PHL,2021-01-10
2020-06-28,14.0,,Zamboanga del Norte,PHL,2021-01-10
2020-07-05,22.0,,Zamboanga del Norte,PHL,2021-01-10
2020-07-12,15.0,,Zamboanga del Norte,PHL,2021-01-10
2020-07-19,16.0,,Zamboanga del Norte,PHL,2021-01-10
2020-07-26,22.0,,Zamboanga del Norte,PHL,2021-01-10
2020-08-02,31.0,,Zamboanga del Norte,PHL,2021-01-10
2020-08-09,24.0,,Zamboanga del Norte,PHL,2021-01-10
2020-08-16,32.0,,Zamboanga del Norte,PHL,2021-01-10
2020-08-23,17.0,,Zamboanga del Norte,PHL,2021-01-10
2020-08-30,18.0,,Zamboanga del Norte,PHL,2021-01-10
2020-09-06,13.0,,Zamboanga del Norte,PHL,2021-01-10
2020-09-13,9.0,,Zamboanga del Norte,PHL,2021-01-10
2020-09-20,14.0,,Zamboanga del Norte,PHL,2021-01-10
2020-09-27,13.0,,Zamboanga del Norte,PHL,2021-01-10
2020-10-04,14.0,,Zamboanga del Norte,PHL,2021-01-10
2020-10-11,6.0,,Zamboanga del Norte,PHL,2021-01-10
2020-10-18,10.0,,Zamboanga del Norte,PHL,2021-01-10
2020-10-25,2.0,,Zamboanga del Norte,PHL,2021-01-10
2020-11-01,7.0,,Zamboanga del Norte,PHL,2021-01-10
2020-11-08,5.0,,Zamboanga del Norte,PHL,2021-01-10
2020-11-15,6.0,,Zamboanga del Norte,PHL,2021-01-10
2020-11-22,2.0,,Zamboanga del Norte,PHL,2021-01-10
2020-11-29,3.0,,Zamboanga del Norte,PHL,2021-01-10
2020-12-06,3.0,,Zamboanga del Norte,PHL,2021-01-10
2020-12-13,10.0,,Zamboanga del Norte,PHL,2021-01-10
2020-12-20,6.0,,Zamboanga del Norte,PHL,2021-01-10
2020-12-27,1.0,,Zamboanga del Norte,PHL,2021-01-10
2021-01-03,4.0,,Zamboanga del Norte,PHL,2021-01-10
2021-01-10,2.0,,Zamboanga del Norte,PHL,2021-01-10
2021-01-17,,0.0,Zamboanga del Norte,PHL,2021-01-10
2021-01-24,,0.0,Zamboanga del Norte,PHL,2021-01-10
2021-01-31,,0.0,Zamboanga del Norte,PHL,2021-01-10
2021-02-07,,0.0,Zamboanga del Norte,PHL,2021-01-10
