Location,Hazard_Score,Hazard_SPC_1,Hazard_SPC_2,Hazard_SPC_3,Hazard_SPC_4,Vulnerability_Score,Vulnerability_SPC_1,Vulnerability_SPC_2,Vulnerability_SPC_3,Vulnerability_SPC_4,Lack of Coping Capacity_Score,Lack of Coping Capacity_SPC_1,Lack of Coping Capacity_SPC_2,Lack of Coping Capacity_SPC_3,Lack of Coping Capacity_SPC_4,Final_Risk_Score,children population,elderly population,total population,youth population,reporting_date
QUIRINO,1.4705149650107276,3.9852818854090994,2.23499896541397,9.908976450723042,9.845768609098942,1.6732928525107285,9.91099809912624,8.662308262567244,3.6481718188959222,7.4186940719585,1.6310223771356007,9.947172768467858,9.91449275680936,8.875,9.807339449541285,1.5823206369871472,51209.76400899993,31139.149443,460594.7169839992,90588.21653199998,2023-09-07 15:37:04
RIZAL,1.4818940787039683,6.005449580197717,3.241013023767951,7.933679268432316,9.702860421726283,1.532952530927284,8.483790070594582,7.587708435718051,3.6737249242924856,6.41362597993748,1.5430935203319533,8.90545856672664,9.629595633351363,5.5,4.908256880733944,1.4807566028273769,516943.5030479999,250630.8773320003,4753840.943709001,915113.4160090006,2023-09-07 15:37:04
ROMBLON,1.7035893709875303,9.342811448593265,2.892726836481978,9.930001094281959,9.982899100574338,1.960392956321394,9.804232817477105,9.00755116911246,5.318133116906855,7.1448157947266155,1.635269931040027,9.85810826652147,9.918589209603741,10.0,9.807339449541285,1.9821071309837346,33307.551326,27080.449857,300278.2319230004,56363.97547299996,2023-09-07 15:37:04
SAMAR,1.5911412704370163,6.951045532342155,3.647375222009673,9.035448715189082,9.628754996812257,1.6232498507975706,10.0,8.286493410224372,3.7848039422373554,5.164447394973716,1.6180239259160705,9.710620087767492,9.801055934215048,10.0,8.238532110091743,1.6110522506760718,259753.10925999985,165411.33963900007,2163160.352906001,416654.42029200034,2023-09-07 15:37:04
SARANGANI,1.759731461962845,5.6282188167046705,7.976925866232724,9.827384850485162,9.919291888154117,1.6808304256174063,9.84516410140621,8.896384182560121,3.638411279682875,7.056859163813719,1.635724560779596,9.87886077830155,9.914604126958523,10.0,9.807339449541285,1.759652758893286,272400.0979559998,107421.87731500003,2156467.5402499964,443122.3785019995,2023-09-07 15:37:04
SORSOGON,1.6091136287560974,7.783475052715022,2.178633964244566,9.887800988860898,9.652213164510824,1.6547939849797433,9.79704342409032,7.850759503783908,4.009996987376782,6.908857859938958,1.6259244972107332,9.457256026080787,9.988647896711152,10.0,9.752293577981652,1.6487565271782039,125420.381529,82865.28437000007,1062293.6643770002,200253.2747600002,2023-09-07 15:37:04
SOUTH COTABATO,1.7841532212411253,4.924870432822688,9.857984691177812,9.406856215387837,9.761747311488273,1.553558855033022,9.707802242145556,8.218586645529573,3.3312160384116347,6.005398809794126,1.6134461406934932,9.310827968762805,9.814144222630894,10.0,9.53211009174312,1.662825396901427,280242.0470880004,123465.84484900023,2342867.9006340005,483151.7054840004,2023-09-07 15:37:04
SOUTHERN LEYTE,1.6774132761854124,8.234151334020606,3.4240023480537385,9.895680257816933,9.716883170409101,1.3503404055414998,9.734991462021737,8.212797793075882,2.0192567130082444,6.382693416932964,1.6257096313379993,9.671288842231007,9.911007594083733,10.0,9.091743119266056,1.410902779478754,61479.006523,61517.78445599998,590622.9613410006,107269.86667300008,2023-09-07 15:37:04
SULTAN KUDARAT,1.6039999764560497,2.255372910589154,7.309567251447373,9.844906893614521,9.797040723803171,1.6536429610008014,9.81114538513486,8.666937195995105,3.64672492351767,6.574942451990267,1.6216216956074783,9.2626753464454,10.0,10.0,9.944954128440367,1.64565124013223,320957.742168,141858.666969,2686999.3379349983,550220.1377229999,2023-09-07 15:37:04
SULU,1.9857417991620208,9.311785695155528,9.891077884223689,9.995805617418117,9.943961038606234,1.6006090204904584,9.883436701496366,8.893511851603566,3.0909248538670737,7.406217615678185,1.6408512240982305,9.976835469079361,9.952253009920286,10.0,9.944954128440367,1.8191553464860006,45517.56055899998,12107.500682000058,421371.3634070002,86876.83764600013,2023-09-07 15:37:04
SURIGAO DEL NORTE,1.6256116569687218,6.659545570715838,4.735705382238924,9.06460058144072,9.661213157029165,1.515374864552042,9.73900504999587,8.308265659336595,2.944689296664527,6.809127242699324,1.6222580745699062,9.688597486499093,9.844304435603558,10.0,8.844036697247706,1.5318841088252027,77298.32885200015,58937.46966500003,715220.094641,141702.6777839999,2023-09-07 15:37:04
SURIGAO DEL SUR,1.667660743855525,7.710352492915508,3.6725291089795413,9.88163038426343,9.790131745911086,1.44432136506154,9.884510107943232,8.408874864702426,2.5030964164244414,6.213216493695892,1.6250864834312224,9.81728806760353,9.69118018153839,10.0,9.834862385321102,1.491201499424997,162650.29977500017,82326.66269400006,1307401.3184099994,267165.2720519997,2023-09-07 15:37:04
TARLAC,1.6462311621076455,5.713217216086142,6.303603146521635,8.996940233356131,9.459671023526713,1.366504288432571,9.22382426073701,7.143978360383813,2.7941553716862746,5.848976022615162,1.6068349812364482,9.073637584145825,9.806535067147687,10.0,9.669724770642203,1.4114899431001005,296694.5287679999,206925.74550500017,2728880.574248003,515857.36997500015,2023-09-07 15:37:04
TAWI-TAWI,2.003408406509983,9.656299184987512,10.0,10.0,9.942067957207593,2.797876499660262,9.734529501132322,10.0,10.0,7.579379804532027,1.6395548225959398,9.963756289610334,9.929578145888266,10.0,9.944954128440367,2.9247601308367743,78450.63208200032,20101.560293000104,671194.6990390017,145291.64163600048,2023-09-07 15:37:04
ZAMBALES,1.7152011411518855,7.584698542021075,5.587658214880357,9.472701680529696,9.568723584928554,1.6354221830807412,9.6265942339224,8.258540462471768,3.7342638616799464,6.812056911100399,1.619475562644746,9.667284234469859,9.68344544738664,10.0,9.669724770642203,1.6954221557777323,165008.03520299977,111476.45001299988,1471522.7750389995,278394.5265679999,2023-09-07 15:37:04
ZAMBOANGA DEL NORTE,1.7296653595527,7.701330293685141,5.555235549773491,9.692818799719701,9.549314958989934,1.698415386741898,9.929293105163419,7.419996504520435,4.703046342063999,5.012297587154384,1.636275100052229,9.871395050084004,9.948140747612655,10.0,9.697247706422019,1.757778158151766,361382.8999269997,189845.5747889996,2992493.571538002,605679.4668320001,2023-09-07 15:37:04
ZAMBOANGA DEL SUR,1.5785819896443165,5.3408366842999255,4.128699745601381,9.614435799141171,9.54904244163135,1.6510945495496636,9.84964325245998,8.080191779333202,4.133806649824075,4.767629090881771,1.6220459702421421,9.548496948174504,9.84241109397436,10.0,9.614678899082568,1.6281509741688698,408438.9194949996,198197.61553299968,3369985.273623999,686540.0560809997,2023-09-07 15:37:04
ZAMBOANGA SIBUGAY,1.7318168758994523,7.674294357097449,5.61058757131283,9.656387027829119,9.769586165803698,1.7934231431350045,9.923434953467643,8.823942151212485,4.442709603090639,6.389138947039486,1.6407156728569126,9.970647953201233,9.953441191977678,10.0,9.944954128440367,1.8449221231228625,105794.65862,46906.26763399994,846098.5050290001,175621.5956479999,2023-09-07 15:37:04
